,EPAssetsId,Province,LicenceNumber,UWI,CurrentOperator,CurrentOperatorParent,CurrentOperatorParentName,Licensee,LicenseeParentCompany,LicenseeParentCompanyName,LicenceDate,CurrentStatus,CurrentStatusStandardised,WellType,WellTypeStandardised,ConfidentialReleaseDate,AbandonDate,SurfAbandonDate,WellName,Formation,Field,Pool,SurveySystem,Surf_Location,Surf_Township,Surf_Meridian,Surf_Range,Surf_Section,Surf_LSD,Surf_Longitude,Surf_Latitude,Surf_TownshipRange,Surf_QuarterUnit,Surf_Unit,Surf_Block,Surf_NTSMapSheet,Surf_Series,Surf_Area,Surf_Sheet,Surf_QuarterSection,BH_Location,BH_TownshipRange,BH_QuarterUnit,BH_Unit,BH_Block,BH_NTSMapSheet,BH_Series,BH_Area,BH_Sheet,BH_QuarterSection,BH_Longitude,BH_Latitude,BH_Township,BH_Meridian,BH_Range,BH_Section,BH_LSD,GroundElevation,KBElevation,TotalDepth,LaheeClass,Confidential,SurfaceOwner,OSArea,OSDeposit,DrillingContractor,SpudDate,FinalDrillDate,RigReleaseDate,DaysDrilling,DrillMetresPerDay,TVD,WellProfile,Country,RegulatoryAgency,PSACAreaCode,PSACAreaName,ProjectedDepth,StatusDate,StatusSource,UnitID,UnitName,UnitFlag,Municipality,CompletionDate,Agent,_Completed`Flag,_Perf`Flag,Match
419,2612750,Alberta,0489195,100130205522W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2018-05-16 00:00:00.000,Pumping,Active,Gas,Gas,,,,PEYTO SUNDANCE 13-2-55-22,Cardium,Sundance,Cardium Undefined,DLS,08-02-055-22-W5,55,W5,22,2,8,-117.15040900000001,53.720403000000005,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,13-02-055-22-W5,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-117.169656,53.729825,55,W5,22,2,13,1012.8,1018.5,3607.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Cwc Energy Services Corp.,2018-06-21 00:00:00.000,2018-07-07 00:00:00.000,2018-07-10 00:00:00.000,16.0,225.44,2154.59,Directional,Canada,AER,AB2,Foothills Front,3750.0,2018-08-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
420,2622271,Alberta,0495350,102133105521W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-08-06 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 13-31-55-21,Cardium,Sundance,Cardium Undefined,DLS,16-31-055-21-W5,55,W5,21,31,16,-117.09838,53.802158999999996,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,13-31-055-21-W5,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-117.12251200000001,53.80015699999999,55,W5,21,31,13,1081.1,1086.8,3666.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-09-22 00:00:00.000,2019-09-30 00:00:00.000,2019-10-02 00:00:00.000,8.0,458.25,2116.64,Directional,Canada,AER,AB2,Foothills Front,3700.0,2019-10-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
421,2620465,Alberta,0494115,102123105521W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-04-04 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 12-31-55-21,Cardium,Sundance,Cardium Undefined,DLS,12-32-055-21-W5,55,W5,21,32,12,-117.09511699999999,53.796314,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,12-31-055-21-W5,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-117.122475,53.796487,55,W5,21,31,12,1091.5,1096.8,3749.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Savanna Drilling Corp.,2019-05-30 00:00:00.000,2019-06-08 00:00:00.000,2019-06-12 00:00:00.000,9.0,416.56,2127.6,Directional,Canada,AER,AB2,Foothills Front,3725.0,2019-07-29 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
422,2624211,Alberta,0496547,102083105521W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-11-22 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 8-31-55-21,Cardium,Sundance,Cardium Undefined,DLS,01-36-055-22-W5,55,W5,22,36,1,-117.125391,53.79025600000001,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,08-31-055-21-W5,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.10088999999999,53.793296999999995,55,W5,21,31,8,1046.5,1053.1,3697.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-12-19 00:00:00.000,2019-12-26 00:00:00.000,2019-12-28 00:00:00.000,7.0,528.14,2091.43,Directional,Canada,AER,AB2,Foothills Front,3675.0,2020-01-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
423,2624210,Alberta,0496546,100013105521W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-11-22 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 1-31-55-21,Cardium,Sundance,Cardium Undefined,DLS,01-36-055-22-W5,55,W5,22,36,1,-117.125326,53.790234999999996,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,01-31-055-21-W5,055-21-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.101774,53.789976,55,W5,21,31,1,1046.5,1053.2,3589.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-12-09 00:00:00.000,2019-12-17 00:00:00.000,2019-12-19 00:00:00.000,8.0,448.63,2093.4,Directional,Canada,AER,AB2,Foothills Front,3650.0,2020-01-26 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
425,2609837,Alberta,0487370,102041005522W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2017-12-18 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO SUNDANCE 4-10-55-22,Cardium,Sundance,Cardium Undefined,DLS,02-03-055-22-W5,55,W5,22,3,2,-117.18186399999999,53.71685,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,04-10-055-22-W5,055-22-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-117.194197,53.73174100000001,55,W5,22,10,4,1043.5,1049.0,3938.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Savanna Drilling Corp.,2018-01-09 00:00:00.000,2018-01-25 00:00:00.000,2018-01-28 00:00:00.000,16.0,246.13,2198.17,Horizontal,Canada,AER,AB2,Foothills Front,4000.0,2018-02-18 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
426,2577895,Alberta,0468151,100132005417W500,Long Run Exploration Ltd.,9160,Calgary Sinoenergy Investment Corp.,Long Run Exploration Ltd.,9160,Calgary Sinoenergy Investment Corp.,2014-07-16 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,LONG RUN HZ EDSON 13-20-54-17,Cardium,Edson,Commingled Pool 003,DLS,13-17-054-17-W5,54,W5,17,17,13,-116.479281,53.670648,054-17-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-20-054-17-W5,054-17-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.479698,53.684993999999996,54,W5,17,20,13,921.9,927.0,3253.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Bonanza Drilling Inc.,2015-01-31 00:00:00.000,2015-02-18 00:00:00.000,2015-02-21 00:00:00.000,18.0,180.72,1791.82,Horizontal,Canada,AER,AB2,Foothills Front,3266.4,2015-03-14 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
427,2587480,Alberta,0475644,102161205416W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2015-06-02 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC 102 HZ ROSEVEAR 16-12-54-16,Cardium,Rosevear,Commingled Pool 001,DLS,16-01-054-16-W5,54,W5,16,1,16,-116.214277,53.641740000000006,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,16-12-054-16-W5,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.21458700000001,53.656231999999996,54,W5,16,12,16,866.4,872.1,3162.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2015-07-15 00:00:00.000,2015-07-24 00:00:00.000,2015-07-26 00:00:00.000,9.0,351.33,1650.82,Horizontal,Canada,AER,AB2,Foothills Front,3175.0,2015-09-28 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
428,2593465,Alberta,0479473,102151205416W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2016-05-17 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC 102 HZ ROSEVEAR 15-12-54-16,Cardium,Rosevear,Commingled Pool 001,DLS,16-01-054-16-W5,54,W5,16,1,16,-116.21354299999999,53.641476000000004,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-12-054-16-W5,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.21991799999999,53.656372,54,W5,16,12,15,866.5,872.2,3363.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2016-07-29 00:00:00.000,2016-08-07 00:00:00.000,2016-08-09 00:00:00.000,9.0,373.67,1652.72,Horizontal,Canada,AER,AB2,Foothills Front,3351.0,2016-10-07 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
429,2613291,Alberta,0489612,100161105416W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2018-06-19 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ EDSON 16-11-54-16,Cardium,Edson,Commingled Pool 001,DLS,13-01-054-16-W5,54,W5,16,1,13,-116.23508799999999,53.640904000000006,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-11-054-16-W5,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.239112,53.65637099999999,54,W5,16,11,16,868.7,874.3,3349.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-09-07 00:00:00.000,2018-09-15 00:00:00.000,2018-09-16 00:00:00.000,8.0,418.63,1667.64,Directional,Canada,AER,AB2,Foothills Front,3348.0,2018-11-20 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
430,2583557,Alberta,0472843,100140205518W500,Long Run Exploration Ltd.,9160,Calgary Sinoenergy Investment Corp.,Long Run Exploration Ltd.,9160,Calgary Sinoenergy Investment Corp.,2014-12-09 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,LONG RUN HZ EDSON 14-2-55-18,Cardium,Edson,Commingled Pool 003,DLS,14-34-054-18-W5,54,W5,18,34,14,-116.572546,53.715031,054-18-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-02-055-18-W5,055-18-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.568795,53.729224,55,W5,18,2,14,956.6,961.7,3379.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Bonanza Drilling Inc.,2015-02-23 00:00:00.000,2015-03-05 00:00:00.000,2015-03-09 00:00:00.000,10.0,337.9,1808.63,Horizontal,Canada,AER,AB2,Foothills Front,3300.0,2015-06-15 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
431,2621401,Alberta,0494805,100163505524W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-06-10 00:00:00.000,Pumping,Active,Gas,Gas,,,,PEYTO WILD RIV 16-35-55-24,Cardium,Wild River,Cardium Undefined,DLS,04-02-056-24-W5,56,W5,24,2,4,-117.468804,53.803192,056-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,16-35-055-24-W5,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-117.445555,53.799864,55,W5,24,35,16,1162.6,1168.1,3803.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-09-25 00:00:00.000,2019-10-06 00:00:00.000,2019-10-10 00:00:00.000,11.0,345.73,2378.44,Directional,Canada,AER,AB2,Foothills Front,4265.0,2020-01-12 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
432,2624213,Alberta,0496548,103083505524W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-11-22 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO WILD RIV 8-35-55-24,Cardium,Wild River,Cardium Undefined,DLS,04-02-056-24-W5,56,W5,24,2,4,-117.46913799999999,53.803375,056-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,08-35-055-24-W5,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.447154,53.793603000000004,55,W5,24,35,8,1162.6,1168.8,4064.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-12-26 00:00:00.000,2020-01-06 00:00:00.000,2020-01-09 00:00:00.000,11.0,369.45,2390.17,Directional,Canada,AER,AB2,Foothills Front,4450.0,2020-02-04 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
433,2621293,Alberta,0494710,103023205524W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-06-04 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO WILD RIV 2-32-55-24,Cardium,Wild River,Cardium Undefined,DLS,16-32-055-24-W5,55,W5,24,32,16,-117.52511899999999,53.802195999999995,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,02-32-055-24-W5,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.528095,53.789912,55,W5,24,32,2,1150.4,1154.4,3691.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-11-05 00:00:00.000,2019-11-13 00:00:00.000,2019-11-16 00:00:00.000,8.0,461.38,2385.32,Directional,Canada,AER,AB2,Foothills Front,3800.0,2019-11-24 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
434,2621294,Alberta,0494711,100013205524W500,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,519,Peyto Exploration & Development Corp.,2019-06-04 00:00:00.000,Flowing,Active,Gas,Gas,,,,PEYTO WILD RIV 1-32-55-24,Cardium,Wild River,Cardium Undefined,DLS,16-32-055-24-W5,55,W5,24,32,16,-117.52511799999999,53.802240000000005,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,01-32-055-24-W5,055-24-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,-117.52236,53.789972999999996,55,W5,24,32,1,1150.4,1154.4,3685.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2019-10-25 00:00:00.000,2019-11-02 00:00:00.000,2019-11-05 00:00:00.000,8.0,460.63,2368.27,Directional,Canada,AER,AB2,Foothills Front,3800.0,2019-11-25 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
435,2603964,Alberta,0483878,100130705415W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2017-06-06 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ ROSEVEAR 13-7-54-15,Cardium,Rosevear,Commingled Pool 001,DLS,16-01-054-16-W5,54,W5,16,1,16,-116.214468,53.641376,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,13-07-054-15-W5,054-15-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.21033999999999,53.656362,54,W5,15,7,13,867.0,872.7,3297.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2017-07-29 00:00:00.000,2017-08-06 00:00:00.000,2017-08-09 00:00:00.000,8.0,412.13,1651.78,Horizontal,Canada,AER,AB2,Foothills Front,3320.0,2017-10-03 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
436,2603965,Alberta,0483879,102160605415W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2017-06-06 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC 102 HZ ROSEVEAR 16-6-54-15,Cardium,Rosevear,Commingled Pool 001,DLS,16-01-054-16-W5,54,W5,16,1,16,-116.214317,53.641377,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,16-06-054-15-W5,054-15-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.189953,53.641889,54,W5,15,6,16,866.9,872.6,3158.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2017-07-19 00:00:00.000,2017-07-28 00:00:00.000,2017-07-28 00:00:00.000,9.0,350.89,1650.34,Horizontal,Canada,AER,AB2,Foothills Front,3163.0,2017-10-03 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
437,2587482,Alberta,0475882,100090605415W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2015-06-23 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ ROSEVEAR 9-6-54-15,Cardium,Rosevear,Commingled Pool 001,DLS,16-01-054-16-W5,54,W5,16,1,16,-116.214432,53.641872,054-16-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,09-06-054-15-W5,054-15-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.18996399999999,53.63889399999999,54,W5,15,6,9,866.5,872.1,3214.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2015-07-27 00:00:00.000,2015-08-06 00:00:00.000,2015-08-08 00:00:00.000,10.0,321.4,1655.48,Horizontal,Canada,AER,AB2,Foothills Front,3335.5,2015-09-11 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
438,2591085,Alberta,0478190,102151604911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2015-12-03 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP PEMBINA 15-16-49-11,Cardium,Pembina,Cardium,DLS,16-17-049-11-W5,49,W5,11,17,16,-115.56590800000001,53.23324100000001,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-16-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.544154,53.23505,49,W5,11,16,15,939.8,943.9,3133.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-01-05 00:00:00.000,2016-01-10 00:00:00.000,2016-01-11 00:00:00.000,5.0,626.6,1789.8,Horizontal,Canada,AER,AB2,Foothills Front,3287.0,2016-02-09 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
439,2580908,Alberta,0470864,100151604911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2014-10-24 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP PEMBINA 15-16-49-11,Cardium,Pembina,Cardium,DLS,07-15-049-11-W5,49,W5,11,15,7,-115.523096,53.225538,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,15-16-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.543802,53.235165,49,W5,11,16,15,935.1,940.6,3326.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2015-01-16 00:00:00.000,2015-02-03 00:00:00.000,2015-02-06 00:00:00.000,18.0,184.78,1763.53,Horizontal,Canada,AER,AB2,Foothills Front,4783.0,2015-06-27 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
440,2585180,Alberta,0474226,102051604911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2015-01-12 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP PEMBINA 5-16-49-11,Cardium,Pembina,Cardium,DLS,07-15-049-11-W5,49,W5,11,15,7,-115.52288999999999,53.225407,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,05-16-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-115.560057,53.225278,49,W5,11,16,5,935.1,940.2,4125.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Precision Drilling Corporation,2015-04-15 00:00:00.000,2015-05-02 00:00:00.000,2015-05-04 00:00:00.000,17.0,242.65,1782.5,Horizontal,Canada,AER,AB2,Foothills Front,4398.0,2015-06-07 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
441,2585182,Alberta,0474225,100051604911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2015-01-12 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP PEMBINA 5-16-49-11,Cardium,Pembina,Cardium,DLS,07-15-049-11-W5,49,W5,11,15,7,-115.522993,53.225473,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,05-16-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-115.560043,53.228117000000005,49,W5,11,16,5,935.1,939.9,4145.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Precision Drilling Corporation,2015-03-26 00:00:00.000,2015-04-08 00:00:00.000,2015-04-13 00:00:00.000,13.0,318.85,1781.45,Horizontal,Canada,AER,AB2,Foothills Front,4465.0,2015-06-07 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
442,2585181,Alberta,0474229,102041604911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2015-01-13 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP 02 PEMBINA 4-16-49-11,Cardium,Pembina,Cardium,DLS,07-15-049-11-W5,49,W5,11,15,7,-115.52278600000001,53.225343,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,04-16-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-115.560022,53.222636,49,W5,11,16,4,935.0,940.1,4153.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Precision Drilling Corporation,2015-05-06 00:00:00.000,2015-05-20 00:00:00.000,2015-05-23 00:00:00.000,14.0,296.64,1788.45,Horizontal,Canada,AER,AB2,Foothills Front,4291.0,2015-06-07 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
443,2591084,Alberta,0478198,100131504911W500,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,Whitecap Resources Inc.,1606,Whitecap Resources Inc.,2015-12-03 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,WHITECAP PEMBINA 13-15-49-11,Cardium,Pembina,Cardium,DLS,16-17-049-11-W5,49,W5,11,17,16,-115.56590800000001,53.233107,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,13-15-049-11-W5,049-11-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.53291999999999,53.232704000000005,49,W5,11,15,13,939.6,944.0,3862.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Montgomery Drilling Canada Ltd,2016-01-12 00:00:00.000,2016-01-18 00:00:00.000,2016-01-19 00:00:00.000,6.0,643.67,1788.76,Horizontal,Canada,AER,AB2,Foothills Front,3992.0,2016-02-09 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
